candidate_id,rank,score,reasoning
CAND_0083879,24,0.9377,"7.1 yrs as a Machine Learning Engineer at Ola, with semantic search and sentence transformers running through the career history — squarely the JD's core mandate; Noida-based (preferred location), open to work, 30-day notice."
CAND_0000031,25,0.9375,"Recommendation Systems Engineer with 6 yrs; profile shows hands-on recommendation systems, ranking model — the retrieval/ranking work this role centres on; Hyderabad-based, responsive and recently active, open to work."
CAND_0075249,26,0.9375,"6.2 yrs as an Applied ML Engineer at Zomato, with learning to rank and collaborative filtering running through the career history — squarely the JD's core mandate; Ahmedabad-based, responsive and recently active, open to work."
CAND_0086022,27,0.9355,"Senior Applied Scientist at Sarvam AI (5 yrs) whose roles cover reranking and vector search, a close match to the search/recommendation systems this position owns; Kolkata-based, open to relocate, open to work, 0-day notice."
CAND_0037944,28,0.9342,"Senior Data Scientist at Vedantu (5 yrs) whose roles cover pinecone and ranking model, a close match to the search/recommendation systems this position owns; Jaipur-based, open to work, 30-day notice."
CAND_0037160,29,0.9336,"6.0 yrs as a Data Scientist at Haptik, with matrix factorization and vector search running through the career history — squarely the JD's core mandate; Mumbai-based, open to work, 30-day notice."
CAND_0032216,30,0.9259,"ML Engineer with 6 yrs; profile shows hands-on sentence transformers, learning to rank — the retrieval/ranking work this role centres on; Chennai-based, open to relocate, open to work, 30-day notice."
CAND_0078002,31,0.9236,"Machine Learning Engineer at Meta (6 yrs) whose roles cover machine learning and collaborative filtering, a close match to the search/recommendation systems this position owns; Coimbatore-based, responsive and recently active, open to work."
CAND_0045250,32,0.9233,"Applied ML Engineer with 7 yrs; profile shows hands-on sentence transformers, recommendation systems — the retrieval/ranking work this role centres on; Delhi-based, responsive and recently active, 15-day notice."
CAND_0076163,33,0.9225,"NLP Engineer at Ola (7 yrs) whose roles cover semantic search and elasticsearch, a close match to the search/recommendation systems this position owns; Chandigarh-based, responsive and recently active, open to work."
CAND_0037980,34,0.9203,"Seasoned Senior Applied Scientist (9 yrs) with concrete bm25 and pytorch work — exactly the matching/ranking depth the JD asks for; Kolkata-based, open to relocate, open to work, 0-day notice."
CAND_0072688,35,0.9198,"Data Scientist at Niramai (7 yrs) whose roles cover deep learning and ranking system, a close match to the search/recommendation systems this position owns; Pune-based (preferred location), responsive and recently active, open to work."
CAND_0065195,36,0.9174,"Search Engineer at CRED (5 yrs) whose roles cover elasticsearch and search engine, a close match to the search/recommendation systems this position owns; Kolkata-based, responsive and recently active, open to work."
CAND_0037566,37,0.9169,"Machine Learning Engineer with 7 yrs; profile shows hands-on elasticsearch, recommendation systems — the retrieval/ranking work this role centres on; Bangalore-based, open to relocate, open to work, 15-day notice."
CAND_0016659,38,0.9152,"ML Engineer at Glance (4 yrs) whose roles cover re-ranking and faiss, a close match to the search/recommendation systems this position owns; Coimbatore-based, responsive and recently active, open to work."
CAND_0009024,39,0.9139,"Search Engineer with 5 yrs; profile shows hands-on faiss, recommendation systems — the retrieval/ranking work this role centres on; Chennai-based, open to work, 30-day notice."
CAND_0018499,40,0.9139,"Seasoned Senior Machine Learning Engineer (7 yrs) with concrete information retrieval and ranking pipeline work — exactly the matching/ranking depth the JD asks for; Noida-based (preferred location), responsive and recently active, open to work."
CAND_0053695,41,0.9138,"Seasoned Recommendation Systems Engineer (6 yrs) with concrete sentence transformers and ranking model work — exactly the matching/ranking depth the JD asks for; Bhubaneswar-based, responsive and recently active, open to work."
CAND_0001819,42,0.9129,"4.4 yrs as a ML Engineer at Genpact AI, with nlp and collaborative filtering running through the career history — squarely the JD's core mandate; Coimbatore-based, open to relocate, responsive and recently active, open to work."
CAND_0080534,43,0.9128,"3.8 yrs as a ML Engineer at Genpact AI, with opensearch and re-ranking running through the career history — squarely the JD's core mandate; Vizag-based, responsive and recently active, open to work."
CAND_0077337,44,0.9127,"7.0 yrs as a Staff Machine Learning Engineer at Paytm, with re-ranking and learning-to-rank running through the career history — squarely the JD's core mandate; Kochi-based, open to relocate, responsive and recently active, open to work."
CAND_0033179,45,0.9125,"Seasoned AI Research Engineer (7 yrs) with concrete machine learning and re-ranking work — exactly the matching/ranking depth the JD asks for; Ahmedabad-based, open to relocate, responsive and recently active, open to work."
CAND_0065878,46,0.9123,"Senior Data Scientist at Niramai (8 yrs) whose roles cover vector search and rag, a close match to the search/recommendation systems this position owns; Trivandrum-based, open to work, 15-day notice."
CAND_0054394,47,0.9105,"Seasoned Recommendation Systems Engineer (4 yrs) with concrete query expansion and faiss work — exactly the matching/ranking depth the JD asks for; Pune-based (preferred location), responsive and recently active, open to work."
CAND_0051004,48,0.9087,"4.7 yrs as a Senior Data Scientist at CRED, with semantic search and qdrant running through the career history — squarely the JD's core mandate; Delhi-based, open to work, 15-day notice."
CAND_0061257,49,0.9083,"Staff Machine Learning Engineer with 8 yrs; profile shows hands-on machine learning, feature engineering — the retrieval/ranking work this role centres on; Noida-based (preferred location), responsive and recently active, open to work."
CAND_0007009,50,0.9059,"Recommendation Systems Engineer with 8 yrs; profile shows hands-on recommendation systems, embeddings — the retrieval/ranking work this role centres on; Noida-based (preferred location), open to work, 30-day notice."
CAND_0068811,51,0.9053,"8.0 yrs as an Applied ML Engineer at Freshworks, with embeddings and learning-to-rank running through the career history — squarely the JD's core mandate; Pune-based (preferred location), open to work, 30-day notice."
CAND_0052335,52,0.9047,"Seasoned Applied ML Engineer (6 yrs) with concrete semantic search and faiss work — exactly the matching/ranking depth the JD asks for; responsive and recently active, open to work."
CAND_0043381,53,0.9041,"AI Research Engineer with 4 yrs; profile shows hands-on matrix factorization, search engine — the retrieval/ranking work this role centres on; Pune-based (preferred location), responsive and recently active, open to work."
CAND_0006418,54,0.9037,"Machine Learning Engineer at Verloop.io (6 yrs) whose roles cover qdrant and semantic search, a close match to the search/recommendation systems this position owns; Gurgaon-based, open to work."
CAND_0079284,55,0.9009,"Machine Learning Engineer with 5 yrs; profile shows hands-on recommendation systems, qdrant — the retrieval/ranking work this role centres on; Hyderabad-based, responsive and recently active, 30-day notice."
CAND_0020708,56,0.9007,"Search Engineer at PolicyBazaar (4 yrs) whose roles cover semantic search and sentence transformers, a close match to the search/recommendation systems this position owns; Indore-based, open to work, 30-day notice."
CAND_0051292,57,0.8996,"Seasoned Applied ML Engineer (5 yrs) with concrete vector search and sentence-transformers work — exactly the matching/ranking depth the JD asks for; Trivandrum-based, open to work, 30-day notice."
CAND_0019288,58,0.8985,"Seasoned AI Research Engineer (6 yrs) with concrete applied machine learning and llm work — exactly the matching/ranking depth the JD asks for; Noida-based (preferred location), open to work, 30-day notice."
CAND_0055905,59,0.8981,"Seasoned Senior Machine Learning Engineer (8 yrs) with concrete reranking and vector search work — exactly the matching/ranking depth the JD asks for; responsive and recently active, open to work, 30-day notice. Concerns: outside India, not open to relocate."
CAND_0053591,60,0.8980,"Seasoned AI Engineer (5 yrs) with concrete faiss and embeddings work — exactly the matching/ranking depth the JD asks for; responsive and recently active, open to work. Concerns: outside India, not open to relocate."
CAND_0098846,61,0.8962,"AI Engineer at upGrad (8 yrs) whose roles cover search engine and rag, a close match to the search/recommendation systems this position owns; Indore-based, open to relocate, responsive and recently active, open to work."
CAND_0025640,62,0.8956,"5.6 yrs as an AI Research Engineer at HCL, with information retrieval and re-ranking running through the career history — squarely the JD's core mandate; Jaipur-based, responsive and recently active, open to work. Watch-outs: outside the JD's preferred metros."
CAND_0024147,63,0.8936,"ML Engineer at Ola (6 yrs) whose roles cover ranking system and qdrant, a close match to the search/recommendation systems this position owns; Jaipur-based, responsive and recently active, open to work. Watch-outs: 60-day notice period."
CAND_0057563,64,0.8931,"Seasoned NLP Engineer (7 yrs) with concrete query expansion and bm25 work — exactly the matching/ranking depth the JD asks for; Indore-based, open to relocate, responsive and recently active. Watch-outs: 60-day notice period."
CAND_0093912,65,0.8930,"Senior Data Scientist with 5 yrs; profile shows hands-on recommendation systems, vector search — the retrieval/ranking work this role centres on; Chandigarh-based, responsive and recently active, open to work. Watch-outs: outside the JD's preferred metros."
CAND_0043228,66,0.8924,"6.8 yrs as an Applied ML Engineer at Zoho, with search engine and learning to rank running through the career history — squarely the JD's core mandate; Chennai-based, 30-day notice. Watch-outs: outside the JD's preferred metros."
CAND_0054123,67,0.8921,"4.7 yrs as an Applied ML Engineer at Meta, with embeddings and semantic search running through the career history — squarely the JD's core mandate; Gurgaon-based, responsive and recently active. Watch-outs: 60-day notice period."
CAND_0020350,68,0.8912,"5.8 yrs as an AI Engineer at Zoho, with vector search and machine learning running through the career history — squarely the JD's core mandate; Jaipur-based, open to work, 30-day notice. Watch-outs: outside the JD's preferred metros."
CAND_0091909,69,0.8906,"Machine Learning Engineer at Rephrase.ai (7 yrs) whose roles cover ranking model and pinecone, a close match to the search/recommendation systems this position owns; Bangalore-based, open to relocate, open to work."
CAND_0017178,70,0.8903,"ML Engineer at Swiggy (4 yrs) whose roles cover applied machine learning and re-ranking, a close match to the search/recommendation systems this position owns; Hyderabad-based, responsive and recently active, 30-day notice. Watch-outs: at 4.2 yrs, sits at the edge of the JD's 5-9 band."
CAND_0076251,71,0.8892,"Search Engineer with 8 yrs; profile shows hands-on query expansion, recommendation systems — the retrieval/ranking work this role centres on; Bhubaneswar-based, open to relocate, open to work. Watch-outs: 60-day notice period."
CAND_0066999,72,0.8891,"Seasoned Recommendation Systems Engineer (6 yrs) with concrete embeddings and opensearch work — exactly the matching/ranking depth the JD asks for; Delhi-based, responsive and recently active, open to work. Watch-outs: at 5.9 yrs, sits at the edge of the JD's 5-9 band."
CAND_0005260,73,0.8882,"Seasoned Senior NLP Engineer (5 yrs) with concrete reranking and vector search work — exactly the matching/ranking depth the JD asks for; Chennai-based, open to relocate, responsive and recently active. Watch-outs: 60-day notice period."
CAND_0089470,74,0.8882,"6.5 yrs as an AI Research Engineer at Zomato, with deep learning and ranking system running through the career history — squarely the JD's core mandate; Pune-based (preferred location)."
CAND_0071939,75,0.8881,"Data Scientist with 6 yrs; profile shows hands-on embeddings, applied machine learning — the retrieval/ranking work this role centres on; Pune-based (preferred location), open to work, 30-day notice."
CAND_0017093,76,0.8879,"Seasoned ML Engineer (6 yrs) with concrete fine-tune and bm25 work — exactly the matching/ranking depth the JD asks for; Hyderabad-based, open to work, 30-day notice. Watch-outs: at 5.9 yrs, sits at the edge of the JD's 5-9 band."
CAND_0041610,77,0.8875,"Seasoned Recommendation Systems Engineer (7 yrs) with concrete search engine and elasticsearch work — exactly the matching/ranking depth the JD asks for; Indore-based, open to relocate, open to work, 30-day notice."
CAND_0013613,78,0.8873,"Machine Learning Engineer at Adobe (5 yrs) whose roles cover ranking model and sentence-transformers, a close match to the search/recommendation systems this position owns; open to work. Watch-outs: outside India, not open to relocate."
CAND_0065430,79,0.8866,"ML Engineer with 4 yrs; profile shows hands-on semantic search, applied machine learning — the retrieval/ranking work this role centres on; Mumbai-based, responsive and recently active, open to work. Watch-outs: at 4.4 yrs, sits at the edge of the JD's 5-9 band."
CAND_0074123,80,0.8862,"6.9 yrs as a Data Scientist at CRED, with matrix factorization and search engine running through the career history — squarely the JD's core mandate; Bhubaneswar-based, open to relocate, open to work, 30-day notice."
CAND_0097176,81,0.8852,"ML Engineer with 6 yrs; profile shows hands-on search engine, matrix factorization — the retrieval/ranking work this role centres on; Gurgaon-based, responsive and recently active, open to work. Watch-outs: ~33% of career in services/consulting firms."
CAND_0066690,82,0.8845,"ML Engineer at Freshworks (5 yrs) whose roles cover pinecone and distilbert, a close match to the search/recommendation systems this position owns; Gurgaon-based, responsive and recently active, open to work. Watch-outs: at 4.8 yrs, sits at the edge of the JD's 5-9 band."
CAND_0014440,83,0.8836,"Recommendation Systems Engineer at CRED (6 yrs) whose roles cover embedding and elasticsearch, a close match to the search/recommendation systems this position owns; Chennai-based, responsive and recently active, open to work. Watch-outs: 60-day notice period."
CAND_0081686,84,0.8829,"Search Engineer at Netflix (6 yrs) whose roles cover embeddings and semantic search, a close match to the search/recommendation systems this position owns; responsive and recently active. Watch-outs: outside India, not open to relocate."
CAND_0030031,85,0.8826,"AI Engineer with 6 yrs; profile shows hands-on recommendation systems, ranking model — the retrieval/ranking work this role centres on; Trivandrum-based, responsive and recently active, 30-day notice. Watch-outs: outside the JD's preferred metros."
CAND_0044222,86,0.8821,"AI Engineer at PolicyBazaar (8 yrs) whose roles cover vector search and sentence-transformers, a close match to the search/recommendation systems this position owns; Vizag-based, responsive and recently active, open to work. Watch-outs: 60-day notice period."
CAND_0080766,87,0.8817,"Staff Machine Learning Engineer at Salesforce (9 yrs) whose roles cover personalization and milvus, a close match to the search/recommendation systems this position owns; Coimbatore-based, open to relocate, responsive and recently active, 0-day notice. Watch-outs: at 8.8 yrs, sits at the edge of."
CAND_0049538,88,0.8816,"5.8 yrs as an Applied ML Engineer at Saarthi.ai, with milvus and learning to rank running through the career history — squarely the JD's core mandate; Jaipur-based, responsive and recently active, 30-day notice. Watch-outs: outside the JD's preferred metros."
CAND_0042506,89,0.8815,"Search Engineer with 4 yrs; profile shows hands-on recommendation systems, collaborative filtering — the retrieval/ranking work this role centres on; Mumbai-based, open to work, 15-day notice. Watch-outs: at 4.2 yrs, sits at the edge of the JD's 5-9 band."
CAND_0068351,90,0.8809,"Lead AI Engineer with 6 yrs; profile shows hands-on information retrieval, machine learning — the retrieval/ranking work this role centres on; Delhi-based, responsive and recently active, 0-day notice."
CAND_0092255,91,0.8808,"Seasoned ML Engineer (5 yrs) with concrete ranking system and weaviate work — exactly the matching/ranking depth the JD asks for; Noida-based (preferred location), open to work. Watch-outs: 60-day notice period."
CAND_0040887,92,0.8798,"Machine Learning Engineer at Netflix (5 yrs) whose roles cover faiss and query expansion, a close match to the search/recommendation systems this position owns; responsive and recently active, open to work, 15-day notice. Watch-outs: outside India, not open to relocate."
CAND_0095528,93,0.8793,"5.3 yrs as a Senior Data Scientist at Netflix, with qdrant and semantic search running through the career history — squarely the JD's core mandate; Indore-based, open to work. Watch-outs: outside the JD's preferred metros."
CAND_0030348,94,0.8791,"Machine Learning Engineer at BYJU'S (4 yrs) whose roles cover vector search and sentence-transformers, a close match to the search/recommendation systems this position owns; Noida-based (preferred location), open to work. Watch-outs: at 4.5 yrs, sits at the edge of the JD's 5-9 band."
CAND_0087364,95,0.8779,"Seasoned Recommendation Systems Engineer (5 yrs) with concrete qdrant and rag work — exactly the matching/ranking depth the JD asks for; Gurgaon-based, 30-day notice. Watch-outs: at 4.9 yrs, sits at the edge of the JD's 5-9 band."
CAND_0051936,96,0.8759,"3.9 yrs as an AI Research Engineer at Observe.AI, with embeddings and lora running through the career history — squarely the JD's core mandate; Ahmedabad-based, responsive and recently active, open to work. Watch-outs: outside the JD's preferred metros."
CAND_0070544,97,0.8758,"Seasoned AI Research Engineer (5 yrs) with concrete weaviate and transformer work — exactly the matching/ranking depth the JD asks for; Jaipur-based, open to work. Watch-outs: 60-day notice period."
CAND_0036437,98,0.8755,"4.8 yrs as a Search Engineer at Rephrase.ai, with faiss and learning-to-rank running through the career history — squarely the JD's core mandate; Kolkata-based, open to relocate, responsive and recently active, 30-day notice. Watch-outs: at 4.8 yrs, sits at the edge of the JD's 5-9 band."
CAND_0046459,99,0.8750,"AI Research Engineer with 4 yrs; profile shows hands-on rag, semantic search — the retrieval/ranking work this role centres on; Pune-based (preferred location), responsive and recently active, open to work. Watch-outs: ~50% of career in services/consulting firms."
CAND_0051466,100,0.8746,"Seasoned AI Research Engineer (5 yrs) with concrete transformer and weaviate work — exactly the matching/ranking depth the JD asks for; Trivandrum-based, responsive and recently active, open to work. Watch-outs: 60-day notice period."
